,Activity Type,Date,Title,Distance,Calories,Time taken,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Best Lap Time,Number of Laps,Time,Temp,Shoes
1070,Running,2022-02-14 0:00:00,New York Running,8.176,378.754,56.41,168.231,168.24,177.975,131.621,6.9,6.026,269.516,961.251,1.843,0.058,8.423,2022-02-14 20:48:00,31.8,Altra Paradigm 6
1071,Treadmill Running,2021-10-08 0:00:00,Baltimore County Running,1.604,733.47,14.7,120.394,158.223,141.992,236.448,9.164,8.704,616.88,674.316,0.595,0.876,2.327,2021-10-08 6:31:00,18.21,Nike Alphafly Next% 2
1072,Cardio,2023-03-20 0:00:00,Jefferson County Running,13.334,373.4,90.718,103.689,174.457,125.431,145.029,6.803,5.993,323.875,686.034,0.141,3.95,13.273,2023-03-20 8:09:00,23.45,Hoka Mach 5
1073,Treadmill Running,2021-12-28 0:00:00,Boca Raton - Running,2.251,674.729,18.672,152.477,159.353,122.374,213.838,8.293,7.437,628.472,203.256,0.977,2.137,2.922,2021-12-28 9:54:00,31.51,Nike Alphafly Next% 2
1074,Running,2022-04-21 0:00:00,Annapolis Running,8.217,788.815,59.038,172.571,165.818,162.157,179.787,7.185,6.25,755.56,596.503,0.72,5.366,8.559,2022-04-21 12:51:00,12.02,Brooks Ghost 14
1075,Running,2023-04-30 0:00:00,Chicago Running,10.001,179.553,67.416,185.397,171.629,116.926,222.409,6.741,6.125,979.792,154.422,0.777,6.04,10.092,2023-04-30 16:28:00,23.73,Brooks Ghost 15
1076,Running,2023-03-04 0:00:00,Ocean City Running,4.427,764.725,33.672,120.818,161.42,125.784,156.186,7.605,6.775,336.421,710.708,1.35,1.396,4.989,2023-03-04 15:39:00,18.48,Nike Pegasus 40
1077,Cardio,2021-08-07 0:00:00,Exeter Running,6.901,959.741,51.257,138.899,163.21,199.921,135.66,7.428,6.723,275.343,100.962,0.148,4.252,7.361,2021-08-07 11:56:00,5.05,Craft Pro Endur Distance
1078,Treadmill Running,2023-08-19 0:00:00,Manheim Running,11.272,312.581,76.64,100.371,172.351,126.45,210.876,6.799,5.828,458.095,241.524,0.414,7.682,11.319,2023-08-19 18:26:00,3.31,Craft Pro Endur Distance
1079,Running,2022-08-04 0:00:00,Annapolis Running,4.805,456.932,34.42,129.541,163.728,169.084,190.903,7.164,6.372,652.963,35.966,0.05,3.441,5.271,2022-08-04 19:42:00,9.59,Hoka Mach 5
1080,Running,2022-10-28 0:00:00,East Buffalo Running,16.113,617.849,110.621,77.507,176.316,122.698,161.349,6.865,6.244,535.039,692.751,0.513,4.551,15.944,2022-10-28 6:46:00,12.4,Hoka Mach 5
1081,Running,2022-11-15 0:00:00,Manheim Running,3.93,149.593,26.832,107.332,164.532,115.384,180.457,6.828,5.882,466.814,224.169,1.534,1.777,4.376,2022-11-15 12:37:00,21.96,Hoka Mach 5
1082,Running,2023-09-30 0:00:00,Pennsauken Running,17.575,278.549,118.402,102.779,180.113,127.347,159.587,6.737,5.993,748.035,228.738,0.949,0.174,17.238,2023-09-30 6:49:00,16.55,Nike Pegasus 40
1083,Treadmill Running,2021-01-03 0:00:00,Philadelphia - Running,4.881,125.26,33.025,105.76,165.819,148.273,157.566,6.766,6.066,712.343,238.251,0.571,7.297,5.265,2021-01-03 16:47:00,25.09,Adidas Ultra Boost 20
1084,Running,2021-03-15 0:00:00,Anne Arundel County Running,16.423,451.983,111.728,83.766,177.686,162.226,216.64,6.803,5.821,600.916,297.644,0.707,7.92,16.196,2021-03-15 7:36:00,12.07,Brooks Ghost 14
1085,Cardio,2021-11-07 0:00:00,Denver Running,13.53,756.124,94.215,183.174,172.385,186.215,206.217,6.964,6.525,965.232,969.123,0.12,8.152,13.547,2021-11-07 11:37:00,19.63,Nike Alphafly Next% 2
1086,Cardio,2021-05-17 0:00:00,Allentown Running,16.381,83.346,109.335,181.14,179.859,134.544,145.218,6.675,6.063,177.74,700.123,1.017,1.707,16.069,2021-05-17 6:50:00,12.53,Altra Paradigm 6
1087,Running,2023-05-15 0:00:00,Fairfax County Running,2.689,38.174,17.935,78.306,163.716,119.819,167.114,6.669,5.996,326.997,239.447,0.763,8.558,3.183,2023-05-15 14:41:00,16.22,Nike Pegasus 40
